@: 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 
m: -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 
m: 0, -1, 0, -1, 0, -1, 0, -1, 0, -1, 
m: 0, -1, 3, -1, 3, -1, 3, -1, 3, -1, 
m: 0, -1, 0, -1, 0, -1, 0, -1, 0, -1, 
m: 2, -1, 3, -1, 2, -1, 3, -1, 2, -1, 
M: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
M: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
m: 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 
m: -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 
M: 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
m: 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 
m: 0, -1, 2, -1, 0, -1, 0, -1, 2, -1, 
M: 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
M: 1, 1, 1, 3, 1, 1, 3, 1, 3, 1, 
M: 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 
m: 1, -1, 1, -1, 1, -1, 1, -1, 1, -1, 
m: -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 
M: 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 
M: 3, 3, 3, 3, 3, 3, 3, 1, 1, 0, 
m: 1, -1, 1, -1, 2, -1, 1, -1, 2, -1, 
